NAME,Co3O(OH),Co3O,Co4O4,T1,rT1,T2,rT2,V_TOT,strategy
20,0.49179463098739773,0.7472909997258584,0.8156547711890896,Ce,0.31071756931156047,SA,0.4178581485608219,5.398880210831696,Random
21,0.005266163298375703,0.48366165236543,0.9150943939616638,MeOH,0.4799107474032259,TMTACN,0.20491355616302792,5.6243994747621056,Random
22,0.6588452309954724,0.4495350637764619,0.8626701854139268,Dy,0.32386869803245627,MeOH,0.3827009976731396,5.465276001622148,Random
23,0.7602915003647097,0.43018811425229164,0.3499016453505843,Dy,0.022816144283674733,SA,0.1903256579914825,7.081490924928229,Random
24,0.7012067878295138,0.8713714174328241,0.7280928545921608,Yb,0.3530320313315643,MeOH,0.3243634354269827,5.639108712103361,Random
25,0.6540081658440159,0.8226423289190723,0.4833505750945516,Yb,0.09769172827815742,TMTACN,0.057901342199974004,4.418471167858536,Random
26,0.4173296877473581,0.26110179356153007,0.8897686483736619,MeOH,0.447413087885234,SA,0.4671343190156123,4.2522391484851845,Random
27,0.7869184228509225,0.07285414384209321,0.4244811713419503,MeOH,0.16335163139860304,SA,0.00897665967869904,5.737901777103023,Random
28,0.47837838321685433,0.7206369087638672,0.9399229215948314,MeOH,0.4816348574873805,MeOH,0.4501869846067272,6.4504946977488835,Random
29,0.49326477684104975,0.2421355280932206,0.8961759529321047,Ce,0.3518344430344867,MeOH,0.41925337179353406,5.2179296748861415,Random
30,0.5585084182885892,0.13339837268644716,0.09714812355529745,Dy,0.16627497345284975,TMTACN,0.2546730387906961,3.796025926286488,Random
31,0.06576177359346169,0.12866022315400127,0.1815792400550199,Dy,0.3337343138935168,SA,0.04937696105319678,4.068803658778526,Random
32,0.527666212489505,0.12811232280994422,0.5536931841423395,Ce,0.45725629036855386,TMTACN,0.20212747948763116,6.032982873221334,Random
33,0.7935890418830351,0.5719173341204247,0.23212102219888475,Yb,0.4025536349870333,MeOH,0.005953346596617393,4.777796335199083,Random
34,0.8805912326466484,0.0015750044379102546,0.23643618625424478,Yb,0.467028727050227,TMTACN,0.2382707215264363,6.695229837337571,Random
35,0.16924795567502293,0.4317659689246873,0.7700383926140548,MeOH,0.46033206236275886,OA,0.09261356214449351,5.9270272957670755,Random
36,0.325152440604081,0.03221998231495793,0.05798595374405513,Yb,0.19807965526288385,TMTACN,0.18502492517834718,7.268105200873771,Random
37,0.7496846818709053,0.7282793509290468,0.7721182958114352,Dy,0.30482965646645216,OA,0.0014622789371393496,5.24790759700992,Random
38,0.1751805613178371,0.2349106768103818,0.7317145719695091,Yb,0.10633296739912573,MeOH,0.1511925169000375,7.136659859129596,Random
39,0.2339755182431965,0.5141969137547043,0.1782007909272031,Ce,0.02067771464108381,TMTACN,0.34174668640749334,3.789501685564411,Random
40,0.6827822538317939,0.7003580406446073,0.5860144185674061,Yb,0.4082528109089709,MeOH,0.41832294445299495,5.376189629129582,Random
41,0.8817208559070848,0.30160397283075924,0.6828836600182185,Dy,0.3317100741209293,TMTACN,0.048260850168286185,6.321621320492043,Random
42,0.12348534910283848,0.10332199982901136,0.4244708209761652,Ce,0.17584076577138913,OA,0.4860882748932502,5.707821195516928,Random
43,0.30945569795291017,0.30147990085579157,0.22363144920653255,MeOH,0.0736535874281109,OA,0.20015774830003435,5.031115315619095,Random
44,0.8002392288037652,0.4461137023945232,0.11948984054274625,Dy,0.3173848021009515,OA,0.11503602896089504,3.8611459583198884,Random
45,0.8488966938837917,0.6757413019529286,0.013153097307373574,MeOH,0.14043686394800448,OA,0.07059291273185364,7.246851638271606,Random
46,0.3913253282296236,0.4444614423878981,0.05309998402647642,Ce,0.3178878886990309,OA,0.16975523789395303,6.621531613214922,Random
47,0.544944834032073,0.1379832380838284,0.8072406320329708,Yb,0.31034115088269887,OA,0.16869546738212,4.506733285884847,Random
